"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 03 18:06:19 GMT 2023","Fri Feb 03 18:06:23 GMT 2023","3854","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticWidget_ClickOnBtnBell_SignUpFormWasAppear","Check Bell on trading instrument widget [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:05:35 GMT 2023","Fri Feb 03 18:05:39 GMT 2023","4046","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticModuleTradingCalculator_clickOnBtnStartTrading_SignUpFormWasAppear","Checking button 'Start trading' on module 'Trading calculator' [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:06:04 GMT 2023","Fri Feb 03 18:06:07 GMT 2023","3103","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticWidget_ClickOnBtnBuy_SignUpFormWasAppear","Check 'Buy' button on trading instrument widget [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:06:00 GMT 2023","Fri Feb 03 18:06:04 GMT 2023","3808","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticWidget_ClickOnBtnSell_SignUpFormWasAppear","Check 'Sell' button on trading instrument widget [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:05:28 GMT 2023","Fri Feb 03 18:05:32 GMT 2023","3981","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticWidget_ClickOnViewDetailedChart_SignUpFormWasAppear","Check 'View detailed chart' button on trading instrument widget [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:05:57 GMT 2023","Fri Feb 03 18:06:00 GMT 2023","3461","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticPageHeader_ClickOnBtnTradeNow_SignUpFormWasAppear","Check 'Trade Now' button on page header [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:05:18 GMT 2023","Fri Feb 03 18:05:21 GMT 2023","3797","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticPageHeader_ClickOnBtnLogIn_LoginFormWasAppear","Check 'Log In' button on page header [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:06:07 GMT 2023","Fri Feb 03 18:06:13 GMT 2023","6104","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticLongPosition_ClickOnGoToPlatform_SignUpFormWasAppear","Check button on Long position overnight fee [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:05:39 GMT 2023","Fri Feb 03 18:05:43 GMT 2023","3657","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticPage_ClickOnBtnAddToFavourite_SignUpFormWasAppear","Check 'Add to favourite' button on title block [1] , ASIC, zomedica-corp-share-price",""
"passed","Fri Feb 03 18:06:13 GMT 2023","Fri Feb 03 18:06:19 GMT 2023","6032","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","","com.capital_tests.testsWithAllure.tradingInstrumentCards_tests.EN.shares.CheckRegBtnTicSharesTest","ticModuleStillLookingForBrokerYouCanTrust_clickOnBtnUserPlus_SignUpFormWasAppear","Checking user plus button on module 'Still looking for a broker you can trust?' [1] , ASIC, zomedica-corp-share-price",""
