
1	https://capital.com.by/en	 0/0	 1/1	 0/0	 0/0	 1/1	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0

2	https://capital.com/	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/1	 0/0	 0/0	 0/0	 0/0	 0/0

3	https://capital.com/0x-to-us-dollar-chart	 0/0	 0/0	 0/0	 2/12	 1/1	 0/0	 0/0	 0/0	 0/42	 1/1	 1/1	 0/0	 1/1	 1/1	 0/0	 0/0	 0/0	 0/0	 0/1	 0/0	 0/0	 0/0	 1/1	 1/1

4	https://capital.com/1life-healthcare-inc-share-price	 0/0	 0/0	 0/0	 2/12	 1/1	 0/0	 0/0	 0/0	 0/42	 1/1	 1/1	 0/0	 1/1	 1/1	 0/0	 0/0	 0/0	 0/0	 0/1	 0/0	 0/0	 0/0	 1/1	 1/1

5	https://capital.com/2009-supervisory-capital-assessment-program-definition	 0/0	 0/0	 0/0	 1/1	 1/1	 0/0	 0/0	 0/0	 0/42	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/1	 0/0	 0/0	 0/0	 1/1	 0/0

6	https://capital.com/2010-european-union-bank-stress-test-definition	 0/0	 0/0	 0/0	 1/1	 1/1	 0/0	 0/0	 0/0	 0/42	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/1	 0/0	 0/0	 0/0	 1/1	 0/0

7	https://capital.com/2010-flash-crash-definition	 0/0	 0/0	 0/0	 0/0	 1/1	 0/0	 0/0	 0/0	 0/42	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/1	 0/0	 0/0	 0/0	 1/1	 0/0

8	https://capital.com/2011-european-union-bank-stress-test-definition	 0/0	 0/0	 0/0	 1/1	 1/1	 0/0	 0/0	 0/0	 0/42	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/0	 0/1	 0/0	 0/0	 0/0	 1/1	 0/0

