LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", ASIC, eur-usd-rate
"", ASIC, usd-jpy-rate
"", ASIC, gbp-usd-rate
"", ASIC, aud-usd-rate
"", ASIC, gbp-jpy-rate
"", ASIC, usd-cad-rate
"", ASIC, eur-jpy-rate
"", ASIC, usd-chf-rate
"", ASIC, aud-jpy-rate
"", ASIC, euro-pound-rate
"", ASIC, eur-aud-rate
"", ASIC, cad-jpy-rate
"", ASIC, gbp-aud-rate
"", ASIC, nzd-usd-rate
"", ASIC, eur-cad-rate
"", ASIC, aud-cad-rate
"", ASIC, gbp-cad-rate
"", ASIC, eur-chf-rate
"", ASIC, aud-nzd-rate
"", ASIC, chf-jpy-rate
"", ASIC, nzd-jpy-rate
"", ASIC, gbp-chf-rate
"", ASIC, cad-chf-rate
"", ASIC, aud-chf-rate
"", ASIC, gbp-nzd-rate
"", ASIC, usd-mxn-rate
"", ASIC, euro-us-dollar-w-rate
"", ASIC, us-dollar-japanese-yen-w-rate
"", ASIC, eur-nzd-rate
"", ASIC, nzd-cad-rate
"", ASIC, nzd-chf-rate
"", ASIC, usd-cnh-rate
"", ASIC, us-dollar-hungarian-forint-rate
"", ASIC, eur-nok-rate
"", ASIC, usd-nok-rate
"", ASIC, usd-pln-rate
"", ASIC, us-dollar-south-african-rand-rate
"", ASIC, eur-huf-rate
"", ASIC, cnh-jpy-rate
"", ASIC, mexican-peso-yen-rate
"", ASIC, australian-dollar-turkish-lira-rate
"", ASIC, hong-kong-dollar-swedish-krona-rate
"", ASIC, eur-try-rate
"", ASIC, swiss-franc-hungarian-forint-rate
"", ASIC, danish-krone-swedish-krona-rate
"", ASIC, norwegian-krone-danish-krone-rate
"", ASIC, swedish-krona-yen-rate
"", ASIC, eur-sek-rate
"", ASIC, nok-jpy-rate
"", ASIC, euro-south-african-rand-rate
"", ASIC, usd-sek-rate
"", ASIC, usd-try-rate
"", ASIC, usd-sgd-rate
"", ASIC, sgd-jpy-rate
"", ASIC, eur-cnh-rate
"", ASIC, aud-nok-rate
"", ASIC, eur-hkd-rate
"", ASIC, australian-dollar-mexican-peso-rate
"", ASIC, canadian-dollar-swedish-krona-rate
"", ASIC, swiss-franc-singapore-dollar-rate
"", ASIC, zar-jpy-rate
"", ASIC, zloty-yen-rate
"", ASIC, try-jpy-rate
"", ASIC, zloty-swedish-krona-rate
"", ASIC, gbp-sek-rate
"", ASIC, nok-sek-rate
"", ASIC, swedish-krona-mexican-peso-rate
"", ASIC, nzd-sgd-rate
"", ASIC, aud-cnh-rate
"", ASIC, canadian-dollar-singapore-dollar-rate
"", ASIC, gbp-mxn-rate
"", ASIC, chinese-yuan-hong-kong-dollar-rate
"", ASIC, danish-krone-yen-rate
"", ASIC, eur-pln-rate
"", ASIC, swedish-krona-turkish-lira-rate
"", ASIC, swiss-franc-swedish-krona-rate
"", ASIC, swiss-franc-hong-kong-dollar-rate
"", ASIC, euro-czech-koruna-rate
"", ASIC, aud-sgd-rate
"", ASIC, eur-mxn-rate
"", ASIC, gbp-nok-rate
"", ASIC, swiss-franc-danish-krone-rate
"", ASIC, australian-dollar-hong-kong-dollar-rate
"", ASIC, australian-dollar-rand-rate
"", ASIC, canadian-dollar-chinese-yuan-rate
"", ASIC, canadian-dollar-hong-kong-dollar-rate
"", ASIC, swiss-franc-mexican-peso-rate
"", ASIC, zloty-turkish-lira-rate
"", ASIC, gbp-pln-rate
"", ASIC, usd-hkd-rate
"", ASIC, british-pound-hungarian-forint-rate
"", ASIC, pound-sterling-chinese-yuan-rate
"", ASIC, us-dollar-czech-koruna-rate
"", ASIC, new-zealand-dollar-swedish-krona-rate
"", ASIC, british-pound-danish-krone-rate
"", ASIC, us-dollar-danish-krone-rate
"", ASIC, canadian-dollar-mexican-peso-rate
"", ASIC, new-zealand-dollar-turkish-lira-rate
"", ASIC, gbp-sgd-rate
"", ASIC, eur-sgd-rate
"", ASIC, new-zealand-dollar-mexican-peso-rate
"", ASIC, gbp-try-rate
"", ASIC, gbp-hkd-rate
"", ASIC, hong-kong-dollar-turkish-lira-rate
"", ASIC, swiss-franc-chinese-yuan-rate
"", ASIC, canadian-dollar-turkish-lira-rate
"", ASIC, hong-kong-dollar-mexican-peso-rate
"", ASIC, chf-nok-rate
"", ASIC, chf-pln-rate
"", ASIC, british-pound-czech-koruna-rate
"", ASIC, new-zealand-dollar-zloty-rate
"", ASIC, singapore-dollar-mexican-peso-rate
"", ASIC, british-pound-south-african-rand-rate
"", ASIC, cad-pln-rate
"", ASIC, new-zealand-dollar-chinese-yuan-rate
"", ASIC, canadian-dollar-rand-rate
"", ASIC, euro-danish-krone-rate
"", ASIC, aud-pln-rate
"", ASIC, sgd-hkd-rate
"", ASIC, swiss-franc-czech-koruna-rate
"", ASIC, swiss-franc-rand-rate
"", ASIC, new-zealand-dollar-hong-kong-dollar-rate
"", ASIC, swiss-franc-turkish-lira-rate
"", ASIC, cad-nok-rate
"", ASIC, euro-new-israeli-sheqel-rate
"", ASIC, euro-romanian-leu-rate
"", ASIC, norwegian-krone-turkish-lira-rate
"", ASIC, us-dollar-israeli-new-shekel-rate
"", ASIC, us-dollar-romanian-leu-rate
"", FCA, eur-usd-rate
