LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", ASIC, tesla-share-price
"", ASIC, amazon-share-price
"", ASIC, bed-bath-beyond-inc-share-price
"", ASIC, nvidia-share-price
"", ASIC, apple-share-price
"", ASIC, amc-entertainment-holdings-cl-a-share-price
"", ASIC, gamestop-share-price
"", ASIC, microsoft-share-price
"", ASIC, lucid-group-inc-share-price
"", ASIC, coinbase-global-inc-class-a-common-stock-share-price
"", ASIC, carvana-co-share-price
"", ASIC, faraday-future-intelligent-electric-inc-share-price
"", ASIC, netflix-share-price
"", ASIC, advanced-micro-devices-amd-share-price
"", ASIC, facebook-share-price
"", ASIC, intel-share-price
"", ASIC, amc-preferred-equity-share-price
"", ASIC, marathon-patent-group-inc-share-price
"", ASIC, direxion-daily-semiconductor-bull-3x-shares-share-price
"", ASIC, shopify-cl-a-sub-vtg-share-price
"", ASIC, rivian-automotive-inc-de-share-price
"", ASIC, alphabet-inc-share-price
"", ASIC, nikola-corporation-share-price
"", ASIC, proshares-ultrapro-short-qqq-share-price
"", ASIC, nio-limited-share-price
"", ASIC, xpeng-inc-share-price
"", ASIC, alibaba-share-price
"", ASIC, snap-share-price
"", ASIC, virgin-galactic-holdings-inc-share-price
"", ASIC, affirm-holdings-inc-share-price
"", ASIC, bigbear-ai-holdings-inc-share-price
"", ASIC, plug-power-inc-share-price
"", ASIC, 888-holdings-plc-share-price
"", ASIC, lundin-petroleum-ab-share-price
"", ASIC, rolls-royce-share-price
"", ASIC, easyjet-share-price
"", ASIC, alphabet-google-share-price
"", ASIC, general-motors-co-share-price
"", ASIC, pfizer-share-price
"", ASIC, walt-disney-share-price
"", ASIC, proshares-ultrapro-qqq-share-price
"", ASIC, palantir-share-price
"", ASIC, xiaomi-corp-share-price
"", ASIC, china-evergrande-group-share-price
"", ASIC, wayfair-cl-a-share-price
"", ASIC, naked-brand-group-limited-share-price
"", ASIC, tilray-inc-share-price
"", ASIC, byd-company-limited-share-price
"", ASIC, orpea-share-price
"", ASIC, paypal-share-price
"", ASIC, rheinmetall-share-price
"", ASIC, silvergate-capital-corporation-share-price
"", ASIC, ford-share-price
"", ASIC, rec-silicon-share-price
"", ASIC, nasdaq-inc-share-price
"", ASIC, visa-shares-price
"", ASIC, upstart-holdings-inc-share-price
"", ASIC, novavax-inc-share-price
"", ASIC, petroleum-geo-services-share-price
"", ASIC, boeing-share-price
"", ASIC, itm-power-share-price
"", ASIC, bp-shares-price
"", ASIC, exxon-mobil-share-price
"", ASIC, uniper-share-price
"", ASIC, airbnb-inc-share-price
"", ASIC, unicredit-spa-share-price
"", ASIC, spotify-technology-sa-share-price
"", ASIC, qualtrics-share-price
"", ASIC, alibaba-group-holding-limited-share-price
"", ASIC, proshares-ultra-vix-short-term-futures-etf-share-price
"", ASIC, coca-cola-shares-price
"", ASIC, lufax-holding-ltd-share-price
"", ASIC, microsectors-fang-index-3x-leveraged-etn-share-price
"", ASIC, total-share-price
"", ASIC, taiwan-semiconductor-share-price
"", ASIC, catalyst-pharmaceuticals-share-price
"", ASIC, norwegian-air-shuttle-share-price
"", ASIC, vinco-ventures-inc-share-price
"", ASIC, husqvarna-b-share-price
"", ASIC, dr-martens-plc-share-price
"", ASIC, shimao-property-holdings-limited-share-price
"", ASIC, roku-inc-share-price
"", ASIC, square-cl-a-share-price
"", ASIC, beyond-meat-inc-share-price
"", ASIC, f-star-therapeutics-inc-share-price
"", ASIC, biontech-se-share-price
"", ASIC, snowflake-inc-share-price
"", ASIC, american-airlines-group-inc-share-price
"", ASIC, sas-share-price
"", ASIC, pilbara-minerals-share-price
"", ASIC, amyris-inc-share-price
"", ASIC, bank-of-america-share-price
"", ASIC, zoom-video-communications-inc-share-price
"", ASIC, aurora-cannabis-inc-share-price
"", ASIC, deutsche-lufthansa-share-price
"", ASIC, petrochina-company-limited-share-price
"", ASIC, unity-software-inc-share-price
"", ASIC, ascential-plc-share-price
"", ASIC, moderna-inc-share-price
"", ASIC, tal-education-grp-adr-rep-2-cl-a-share-price
"", ASIC, sofi-technologies-inc-share-price
"", ASIC, flight-centre-travel-group-share-price
"", ASIC, megaport-limited-share-price
"", ASIC, arqit-quantum-inc-share-price
"", ASIC, at-t-share-prices
"", ASIC, riot-blockchain-inc-share-price
"", ASIC, air-france-klm-share-price
"", ASIC, lvmh-moet-hennessy-louis-vuitton-se-share-price
"", ASIC, blue-apron-holdings-inc-class-share-price
"", ASIC, contextlogic-inc-share-price
"", ASIC, smiledirectclub-inc-share-price
"", ASIC, roblox-corp-share-price
"", ASIC, oatly-group-ab-american-depositary-shares-share-price
"", ASIC, united-states-natural-gas-fund-lp-share-price
"", ASIC, petroleo-brasileiro-share-price
"", ASIC, ibm-share-price
"", ASIC, occidental-petroleum-share-price
"", ASIC, tencent-holdings-limited-share-price
"", ASIC, redfin-corporation-share-price
"", ASIC, caterpillar-share-price
"", ASIC, tui-ag-share-price
"", ASIC, farfetch-ltd-share-price
"", ASIC, berkeley-energia-limited-share-price
"", ASIC, elior-group-sa-share-price
"", ASIC, aterian-inc-share-price
"", ASIC, spdr-s-p-500-etf-share-price
"", ASIC, volkswagen-nv-share-price
"", ASIC, computacenter-plc-share-price
"", ASIC, invesco-qqq-trust-share-price
"", ASIC, canoo-inc-share-price
"", ASIC, darktrace-plc-share-price
"", ASIC, wizz-air-holdings-plc-share-price
"", ASIC, ark-innovation-etf-share-price
"", ASIC, ocugen-inc-share-price
"", ASIC, american-express-share-price
"", ASIC, american-lithium-corp-share-price
"", ASIC, lordstown-motors-corp-share-price
"", ASIC, baidu-inc-share-price
"", ASIC, curevac-n-v-share-price
"", ASIC, cipher-mining-inc-share-price
"", ASIC, first-solar-share-price
"", ASIC, aston-martin-lagonda-global-holdings-plc-share-price
"", ASIC, blackberry-limited-share-price
"", ASIC, chevron-share-price
"", ASIC, direxion-daily-s-p-500-bear-3x-shares-share-price
"", ASIC, daimler-share-price
"", ASIC, li-auto-inc-share-price
"", ASIC, 3m-share-price
"", ASIC, saga-plc-share-price
"", ASIC, stitch-fix-share-price
"", ASIC, enphase-energy-inc-share-price
"", ASIC, horizon-oil-limited-share-price
"", ASIC, cgg-sa-share-price
"", ASIC, crowdstrike-holdings-inc-share-price
"", ASIC, dge-share-price
"", ASIC, barclays-share-price
"", ASIC, peloton-interactive-inc-share-price
"", ASIC, porsche-automobil-holding-share-price
"", ASIC, koninklijke-philips-n-v-share-price
"", ASIC, vodafone-share-price
"", ASIC, juventus-fc-share-price
"", ASIC, 3i-group-plc-ord-73-19-22p-share-price
"", ASIC, fuelcell-energy-inc-share-price
"", ASIC, digital-world-acquisition-corp-share-price
"", ASIC, sunrun-inc-share-price
"", ASIC, zip-co-limited-share-price
"", ASIC, bw-lpg-share-price
"", ASIC, salesforce-share-price
"", ASIC, bp-share-price
"", ASIC, sorrento-therapeutics-inc-share-price
"", ASIC, quantumscape-corporation-share-price
"", ASIC, antero-resources-share-price
"", ASIC, china-oilfield-services-limited-share-price
"", ASIC, johnson-johnson-share-price
"", ASIC, vallourec-share-price
"", ASIC, wework-inc-share-price
"", ASIC, intercept-pharmaceuticals-inc-share-price
"", ASIC, skillz-inc-share-price
"", ASIC, brainchip-holdings-share-price
"", ASIC, luminar-technologies-inc-share-price
"", ASIC, iqiyi-inc-share-price
"", ASIC, nu-holdings-ltd-share-price
"", ASIC, qurate-retail-group-inc-share-price
"", ASIC, fubotv-inc-share-price
"", ASIC, nike-share-price
"", ASIC, cloudflare-inc-share-price
"", ASIC, datadog-inc-share-price
"", ASIC, royal-dutch-shell-plc-share-price
"", ASIC, aehr-test-systems-share-price
"", ASIC, twilio-cl-a-share-price
"", ASIC, fisker-inc-share-price
"", ASIC, qualcomm-share-price
"", ASIC, accent-group-limited-share-price
"", ASIC, jumia-technologies-ag-share-price
"", ASIC, mcdonald-s-share-price
"", ASIC, porsche-ag-vz-share-price
"", ASIC, chegg-inc-share-price
"", ASIC, airbus-share-price
"", ASIC, ballard-power-systems-inc-share-price
"", ASIC, china-molybdenum-co-ltd-share-price
"", ASIC, pinduoduo-inc-share-price
"", ASIC, vanguard-s-p-500-etf-share-price
"", ASIC, zalando-share-price
"", ASIC, bilibili-inc-share-price
"", ASIC, marathon-oil-share-price
"", ASIC, novonix-limited-share-price
"", ASIC, verizon-share-price
"", ASIC, paladin-energy-limited-share-price
"", ASIC, apache-share-price
"", ASIC, bionano-genomics-inc-share-price
"", ASIC, adidas-share-price
"", ASIC, redbubble-limited-share-price
"", ASIC, tullow-oil-share-price
"", ASIC, petrofac-ltd-share-price
"", ASIC, bridgebio-pharma-inc-share-price
"", ASIC, bayer-share-price
"", ASIC, thg-holdings-plc-share-price
"", ASIC, walmart-share-price
"", ASIC, hasbro-inc-share-price
"", ASIC, rdsb-share-price
"", ASIC, spdr-series-trust-spdr-portfolio-s-p-500-growth-etf-share-price
"", ASIC, carnival-share-price
"", ASIC, pinterest-inc-share-price
"", ASIC, uber-technologies-inc-share-price
"", ASIC, vanguard-s-p-500-ucits-etf-share-price
"", ASIC, asensus-surgical-inc-share-price
"", ASIC, credit-suisse-grp-adr-reptg-one-share-price
"", ASIC, sumo-logic-inc-share-price
"", ASIC, ai-powered-equity-etf-share-price
"", ASIC, sap-share-price
"", ASIC, celularity-inc-share-price
"", ASIC, invitae-corporation-share-price
"", ASIC, workhorse-group-inc-share-price
"", ASIC, zscaler-inc-share-price
"", ASIC, micron-technology-inc-share-price
"", ASIC, pets-at-home-group-plc-ord-1p-share-price
"", ASIC, 1life-healthcare-inc-share-price
"", ASIC, bakkavor-group-plc-share-price
"", ASIC, bakkt-holdings-inc-share-price
"", ASIC, global-x-uranium-etf-share-price
"", ASIC, ryanair-holdings-plc-share-price
"", ASIC, berkshire-hathaway-inc-share-price
"", ASIC, sea-limited-share-price
"", ASIC, intesa-sanpaolo-spa-share-price
"", ASIC, deliveroo-holdings-plc-share-price
"", ASIC, 21vianet-group-inc-share-price
"", ASIC, lloyds-share-price
"", ASIC, aemetis-inc-share-price
"", ASIC, blink-charging-co-share-price
"", ASIC, ark-next-generation-internet-etf-share-price
"", ASIC, direxion-daily-technology-bull-3x-shares-share-price
"", ASIC, greencore-group-plc-share-price
"", ASIC, banco-de-sabadell-s-a-share-price
"", ASIC, jinkosolar-holding-co-ltd-share-price
"", ASIC, alibaba-health-information-technology-limited-share-price
"", ASIC, australian-strategic-materials-ltd-share-price
"", ASIC, deutsche-bank-share-price
"", ASIC, ubisoft-entertainment-share-price
"", ASIC, ark-genomic-revolution-etf-share-price
