LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", ASIC, us-natural-gas-price
"", ASIC, us-crude-oil-price
"", ASIC, us-coffee-arabica-spot-commodity
"", ASIC, corn-spot-commodity
"", ASIC, aluminum-spot-commodity
"", ASIC, orange-juice-spot-commodity
"", ASIC, lead-commodity
"", ASIC, us-cocoa-cash-commodity
"", ASIC, us-natural-gas-futures-ngv22-commodity
"", ASIC, us-natural-gas-futures-ngx22-commodity
"", ASIC, us-natural-gas-futures-ngz22-commodity
"", ASIC, us-sugar-futures-jul-22-commodity
"", ASIC, us-sugar-futures-futures-may-2022-commodity
"", ASIC, wheat-spot-commodity
"", FCA, us-natural-gas-price
"", FCA, copper-price
"", FCA, palladium-price
"", FCA, cotton-no-2-cash-commodity
"", FCA, us-coffee-arabica-spot-commodity
"", FCA, platinum-price
"", FCA, carbon-emissions-futures-ecfz23-commodity
"", FCA, uk-sugar-no-5-spot-commodity
"", FCA, us-crude-oil-futures-may-2022-commodity
"", FCA, us-crude-oil-futures-november-2022-commodity
"", FCA, crude-oil-futures-clv21-commodity
"", FCA, us-natural-gas-futures-ngv22-commodity
"", FCA, us-natural-gas-futures-ngx22-commodity
"", FCA, us-natural-gas-futures-ngz22-commodity
"", FCA, us-sugar-futures-jul-22-commodity
"", FCA, us-sugar-futures-futures-may-2022-commodity
"", FCA, wheat-spot-commodity
"", CYSEC, us-natural-gas-price
"", CYSEC, us-crude-oil-price
"", CYSEC, gold-price
"", CYSEC, brent-crude-oil-price
"", CYSEC, soybean-spot-commodity
"", CYSEC, iron-ore-spot-commodity
"", CYSEC, brent-crude-oil-futures-apr-2022-commodity
"", CYSEC, brent-crude-oil-futures-aug-2020-commodity
"", CYSEC, ice-brent-crude-oil-futures-coilq21-commodity
"", CYSEC, brent-crude-oil-futures-aug-2022-commodity
"", CYSEC, brent-crude-oil-futures-jul-2022-commodity
"", CYSEC, brent-crude-oil-futures-jun-2022-commodity
"", CYSEC, ice-brent-crude-oil-futures-coilv21-commodity
"", CYSEC, carbon-emissions-futures-ecfz21-commodity
"", CYSEC, us-sugar-futures-futures-may-2022-commodity
"", CYSEC, wheat-spot-commodity
"", NBRB, us-natural-gas-price
"", NBRB, us-crude-oil-price
"", NBRB, us-coffee-arabica-spot-commodity
"", NBRB, platinum-price
"", NBRB, carbon-emissions-futures-ecfz23-commodity
"", NBRB, uk-sugar-no-5-spot-commodity
"", NBRB, corn-spot-commodity
"", NBRB, aluminum-spot-commodity
"", NBRB, orange-juice-spot-commodity
"", NBRB, us-natural-gas-futures-ngv22-commodity
"", NBRB, us-natural-gas-futures-ngx22-commodity
"", NBRB, us-natural-gas-futures-ngz22-commodity
"", NBRB, us-sugar-futures-jul-22-commodity
"", NBRB, us-sugar-futures-futures-may-2022-commodity
"", NBRB, wheat-spot-commodity
"", CCSTV, platinum-price
"", CCSTV, carbon-emissions-futures-ecfz23-commodity
"", CCSTV, uk-sugar-no-5-spot-commodity
"", CCSTV, corn-spot-commodity
"", CCSTV, aluminum-spot-commodity
"", CCSTV, orange-juice-spot-commodity
"", CCSTV, lead-commodity
"", CCSTV, us-cocoa-cash-commodity
"", CCSTV, soybean-spot-commodity
"", CCSTV, iron-ore-spot-commodity
"", CCSTV, us-natural-gas-futures-ngx22-commodity
"", CCSTV, us-natural-gas-futures-ngz22-commodity
"", CCSTV, us-sugar-futures-jul-22-commodity
"", CCSTV, us-sugar-futures-futures-may-2022-commodity
"", CCSTV, wheat-spot-commodity
"", FSA, us-natural-gas-price
"", FSA, us-crude-oil-price
"", FSA, platinum-price
"", FSA, carbon-emissions-futures-ecfz23-commodity
"", FSA, us-crude-oil-futures-november-2022-commodity
"", FSA, crude-oil-futures-clv21-commodity
"", FSA, us-natural-gas-futures-ngv22-commodity
"", FSA, us-natural-gas-futures-ngx22-commodity
"", FSA, us-natural-gas-futures-ngz22-commodity
"", FSA, us-sugar-futures-jul-22-commodity
"", FSA, us-sugar-futures-futures-may-2022-commodity
"", FSA, wheat-spot-commodity
"", SCB, us-natural-gas-price
"", SCB, us-crude-oil-price
"", SCB, gold-price
"", SCB, brent-crude-oil-price
"", SCB, silver-price
"", SCB, copper-price
"", SCB, palladium-price
"", SCB, cotton-no-2-cash-commodity
"", SCB, us-coffee-arabica-spot-commodity
"", SCB, platinum-price
"", SCB, carbon-emissions-futures-ecfz23-commodity
