LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", CYSEC, dent-to-us-dollar-chart
"", CYSEC, dexe-to-us-dollar-chart
"", CYSEC, dfi-to-us-dollar-chart
"", CYSEC, dforce-token-to-us-dollar-chart
"", CYSEC, dia-to-us-dollar-chart
"", CYSEC, dock-to-us-dollar-chart
"", CYSEC, dodo-to-us-dollar-chart
"", CYSEC, dusk-network-to-us-dollar-chart
"", CYSEC, e-radix-to-us-dollar-chart
"", CYSEC, easyfi-to-us-dollar-chart
"", CYSEC, ecash-to-us-dollar-chart
"", CYSEC, eden-to-us-dollar-chart
"", CYSEC, efinity-token-to-us-dollar-chart
"", CYSEC, elastos-to-us-dollar-chart
"", CYSEC, electroneum-to-us-dollar-chart
"", CYSEC, ellipsis-to-us-dollar-chart
"", CYSEC, energy-web-token-to-us-dollar-chart
"", CYSEC, etherum-australian-dollar-chart
"", CYSEC, etherum-baht-chart
"", CYSEC, etherum-canadian-dollar-chart
"", CYSEC, etherum-czech-koruna-chart
"", CYSEC, etherum-danish-krone-chart
"", CYSEC, etherum-forint-chart
"", CYSEC, etherum-mexican-peso-chart
"", CYSEC, etherum-new-israeli-sheqel-chart
"", CYSEC, etherum-new-zealand-dollar-chart
"", CYSEC, etherum-norwegian-krone-chart
"", CYSEC, etherum-pound-sterling-chart
"", CYSEC, etherum-rand-chart
"", CYSEC, etherum-romanian-leu-chart
"", CYSEC, etherum-singapore-dollar-chart
"", CYSEC, etherum-swedish-krona-chart
"", CYSEC, etherum-swiss-franc-chart
"", CYSEC, etherum-turkish-lira-chart
"", CYSEC, etherum-yen-chart
"", CYSEC, ethereum-to-belarusian-ruble-chart
"", CYSEC, ethereum-to-russian-ruble-chart
"", CYSEC, ethernitychain-to-us-dollar-chart
"", CYSEC, exchange-union-to-us-dollar-chart
"", CYSEC, fetch-to-us-dollar-chart
"", CYSEC, firo-to-us-dollar-chart
"", CYSEC, floki-inu-to-us-dollar-chart
"", CYSEC, flux-network-to-us-dollar-chart
"", CYSEC, frax-share-to-us-dollar-chart
"", CYSEC, frontier-to-us-dollar-chart
"", CYSEC, funfair-to-us-dollar-chart
"", CYSEC, fuse-to-us-dollar-chart
"", CYSEC, gari-network-to-us-dollar-chart
"", CYSEC, gas-to-us-dollar-chart
"", CYSEC, gatetoken-to-us-dollar-chart
"", CYSEC, genaro-network-to-us-dollar-chart
"", CYSEC, get-protocol-to-us-dollar-chart
"", CYSEC, gitcoin-to-us-dollar-chart
"", CYSEC, glm-to-us-dollar-chart
"", CYSEC, gnosis-to-us-dollar-chart
"", CYSEC, gods-unchained-to-us-dollar-chart
"", CYSEC, golff-to-us-dollar-chart
"", CYSEC, groestlcoin-to-us-dollar-chart
"", CYSEC, gxchain-to-us-dollar-chart
"", CYSEC, hapi-to-us-dollar-chart
"", CYSEC, hard-protocol-to-us-dollar-chart
"", CYSEC, hegic-to-us-dollar-chart
"", CYSEC, hex-to-us-dollar-chart
