LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", ASIC, btc-usd-chart
"", ASIC, xrp-usd-chart
"", ASIC, eth-usd-chart
"", ASIC, dogecoin-to-usd
"", ASIC, luna-to-us-dollar-chart
"", ASIC, cardano-to-us-dollar-chart
"", ASIC, sol-to-us-dollar-chart
"", ASIC, gala-to-us-dollar-chart
"", ASIC, bts-btc-chart
"", ASIC, fantom-to-us-dollar-chart
"", ASIC, shiba-inu-to-us-dollar-chart
"", ASIC, matic-to-us-dollar-chart
"", ASIC, unus-sed-leo-to-us-dollar-chart
"", ASIC, loka-to-us-dollar-chart
"", ASIC, 0x-to-us-dollar-chart
"", ASIC, decentraland-to-us-dollar-chart
"", ASIC, xrp-eur-chart
"", ASIC, cix-index
"", ASIC, ltc-usd-chart
"", ASIC, vet-to-us-dollar-chart
"", ASIC, waves-to-us-dollar-chart
"", ASIC, trust-wallet-token-to-us-dollar-chart
"", ASIC, ocean-to-us-dollar-chart
"", ASIC, eth-eur-chart
"", ASIC, crypto-com-coin-to-us-dollar-chart
"", ASIC, btc-eur-chart
"", ASIC, dgb-to-us-dollar-chart
"", ASIC, srm-to-us-dollar-chart
"", ASIC, orchid-to-us-dollar-chart
"", ASIC, dydx-to-us-dollar-chart
"", ASIC, enjin-coin-to-us-dollar-chart
"", ASIC, bitshares-to-us-dollar-chart
"", ASIC, aave-to-us-dollar-chart
"", ASIC, yield-guild-to-us-dollar-chart
"", ASIC, luna2-to-us-dollar-chart
"", ASIC, avax-to-us-dollar-chart
"", ASIC, trx-usd-chart
"", ASIC, ape-to-us-dollar-chart
"", ASIC, hedera-hashgraph-to-us-dollar-chart
"", ASIC, xlm-usd-chart
"", ASIC, etc-btc-chart
"", ASIC, algo-to-us-dollar-chart
"", ASIC, district0x-to-us-dollar-chart
"", ASIC, harmony-to-us-dollar-chart
"", ASIC, dot-to-us-dollar-chart
"", ASIC, ada-btc-chart
"", ASIC, helium-to-us-dollar-chart
"", ASIC, fil-to-us-dollar-chart
"", ASIC, xem-btc-chart
"", ASIC, kava-to-us-dollar-chart
"", ASIC, ravencoin-to-us-dollar-chart
"", ASIC, loopring-to-us-dollar-chart
"", ASIC, link-usd-chart
"", ASIC, qtum-usd-chart
"", ASIC, socios-com-chiliz-to-us-dollar-chart
"", ASIC, aion-to-us-dollar-chart
"", ASIC, steem-btc-chart
"", ASIC, bch-usd-chart
"", ASIC, theta-to-us-dollar-chart
"", ASIC, zilliqa-to-us-dollar-chart
"", ASIC, perpetual-protocol-to-us-dollar-chart
"", ASIC, crv-to-us-dollar-chart
"", ASIC, axie-infinity-to-us-dollar-chart
"", ASIC, steem-usd-chart
"", ASIC, sand-to-us-dollar-chart
"", ASIC, omg-to-us-dollar-chart
"", ASIC, the-graph-to-us-dollar-chart
"", ASIC, alpha-finance-to-us-dollar-chart
"", ASIC, atom-to-us-dollar-chart
"", ASIC, injective-protocol-to-us-dollar-chart
"", ASIC, neo-usd-chart
"", ASIC, api3-to-us-dollar-chart
"", ASIC, trx-btc-chart
"", ASIC, xrp-btc-chart
"", ASIC, eos-usd-chart
"", ASIC, iota-to-us-dollar-chart
"", ASIC, dash-to-us-dollar-chart
"", ASIC, gmt-to-us-dollar-chart
"", ASIC, yfi-to-us-dollar-chart
"", ASIC, immutable-x-to-us-dollar-chart
"", ASIC, kusama-to-us-dollar-chart
"", ASIC, uni-usd-chart
"", ASIC, jst-to-us-dollar-chart
"", ASIC, bch-btc-chart
"", ASIC, snx-to-us-dollar-chart
"", ASIC, bat-to-us-dollar-chart
"", ASIC, internet-computer-to-us-dollar-chart
"", ASIC, knc-to-us-dollar-chart
"", ASIC, graph-to-bitcoin-chart
"", ASIC, uma-to-us-dollar-chart
"", ASIC, mina-to-us-dollar-chart
"", ASIC, qtum-btc-chart
"", ASIC, xtz-to-us-dollar-chart
"", ASIC, maker-to-us-dollar-chart
"", ASIC, thorchain-to-us-dollar-chart
"", ASIC, ltc-eur-chart
"", ASIC, xlm-btc-chart
"", ASIC, eos-btc-chart
"", ASIC, ant-to-us-dollar-chart
