LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", CYSEC, ethereum-name-service-to-us-dollar-chart
"", CYSEC, asr-to-us-dollar-chart
"", CYSEC, bar-to-us-dollar-chart
"", CYSEC, atm-to-us-dollar-chart
"", CYSEC, bnt-to-us-dollar-chart
"", CYSEC, livepeer-to-us-dollar-chart
"", CYSEC, monero-to-us-dollar-chart
"", CYSEC, btg-btc-chart
"", CYSEC, tellor-to-us-dollar-chart
"", CYSEC, paris-saint-germain-fan-token-to-us-dollar-chart
"", CYSEC, porto-to-us-dollar-chart
"", CYSEC, og-to-us-dollar-chart
"", CYSEC, acm-to-us-dollar-chart
"", CYSEC, juv-to-us-dollar-chart
"", CYSEC, city-to-us-dollar-chart
"", CYSEC, wbtc-to-us-dollar-chart
"", CYSEC, augur-to-us-dollar-chart
"", CYSEC, 8x8-protocol-to-us-dollar-chart
"", CYSEC, abbc-coin-to-us-dollar-chart
"", CYSEC, abyss-to-us-dollar-chart
"", CYSEC, acala-to-us-dollar-chart
"", CYSEC, achain-to-us-dollar-chart
"", CYSEC, adex-to-us-dollar-chart
"", CYSEC, adventure-gold-to-us-dollar-chart
"", CYSEC, aelf-to-us-dollar-chart
"", CYSEC, aergo-to-us-dollar-chart
"", CYSEC, aeternity-to-us-dollar-chart
"", CYSEC, aidos-kuneen-to-us-dollar-chart
"", CYSEC, airswap-to-us-dollar-chart
"", CYSEC, akropolis-delphi-to-us-dollar-chart
"", CYSEC, akropolis-to-us-dollar-chart
"", CYSEC, alchemix-to-us-dollar-chart
"", CYSEC, alchemy-pay-to-us-dollar-chart
"", CYSEC, aleph-im-to-us-dollar-chart
"", CYSEC, alien-worlds-to-us-dollar-chart
"", CYSEC, allianceblock-to-us-dollar-chart
"", CYSEC, alpaca-finance-to-us-dollar-chart
"", CYSEC, ambrosus-to-us-dollar-chart
"", CYSEC, amp-to-us-dollar-chart
"", CYSEC, ampleforth-to-us-dollar-chart
"", CYSEC, anchor-protocol-to-us-dollar-chart
"", CYSEC, ankr-to-us-dollar-chart
"", CYSEC, anyswap-to-us-dollar-chart
"", CYSEC, apenft-to-us-dollar-chart
"", CYSEC, appcoins-to-us-dollar-chart
"", CYSEC, arcblock-token-to-us-dollar-chart
"", CYSEC, ardor-to-us-dollar-chart
"", CYSEC, ariva-to-us-dollar-chart
"", CYSEC, ark-to-us-dollar-chart
"", CYSEC, arpa-chain-to-us-dollar-chart
"", CYSEC, arweave-to-us-dollar-chart
"", CYSEC, ascendex-token-to-us-dollar-chart
"", CYSEC, astar-to-us-dollar-chart
"", CYSEC, audius-to-us-dollar-chart
"", CYSEC, auto-to-us-dollar-chart
"", CYSEC, automata-to-us-dollar-chart
"", CYSEC, badger-dao-to-us-dollar-chart
"", CYSEC, bakerytoken-to-us-dollar-chart
"", CYSEC, band-to-us-dollar-chart
"", CYSEC, beechat-to-us-dollar-chart
"", CYSEC, bella-protocol-to-us-dollar-chart
"", CYSEC, biconomy-to-us-dollar-chart
"", CYSEC, bifi-to-us-dollar-chart
"", CYSEC, bitcoin-australian-dollar-chart
"", CYSEC, bitcoin-baht-chart
"", CYSEC, bitcoin-canadian-dollar-chart
"", CYSEC, bitcoin-czech-koruna-chart
"", CYSEC, bitcoin-danish-krone-chart
"", CYSEC, bitcoin-forint-chart
"", CYSEC, bitcoin-mexican-peso-chart
"", CYSEC, bitcoin-new-israeli-sheqel-chart
"", CYSEC, bitcoin-new-zealand-dollar-chart
"", CYSEC, bitcoin-norwegian-krone-chart
"", CYSEC, bitcoin-pound-sterling-chart
"", CYSEC, bitcoin-rand-chart
"", CYSEC, bitcoin-romanian-leu-chart
"", CYSEC, bitcoin-singapore-dollar-chart
"", CYSEC, bitcoin-swedish-krona-chart
"", CYSEC, bitcoin-swiss-franc-chart
"", CYSEC, bitcoin-turkish-lira-chart
"", CYSEC, bitcoin-yen-chart
"", CYSEC, bitcoin-cash-abc-to-us-dollar-chart
"", CYSEC, bitcoin-diamond-to-us-dollar-chart
"", CYSEC, btg-usd-chart
"", CYSEC, bitcoin-to-belarusian-ruble-chart
"", CYSEC, bitcoin-to-russian-ruble-chart
"", CYSEC, bitcoin-vault-to-us-dollar-chart
"", CYSEC, bitdao-to-us-dollar-chart
"", CYSEC, bittorrent-to-us-dollar-chart
"", CYSEC, bluzelle-to-us-dollar-chart
"", CYSEC, boba-network-to-us-dollar-chart
"", CYSEC, bonded-finance-to-us-dollar-chart
"", CYSEC, bonfida-to-us-dollar-chart
"", CYSEC, boson-protocol-to-us-dollar-chart
"", CYSEC, btc-usdt-chart
"", CYSEC, busd-to-us-dollar-chart
"", CYSEC, bytecoin-to-us-dollar-chart
"", CYSEC, bytom-to-us-dollar-chart
"", CYSEC, bzx-protocol-to-us-dollar-chart
"", CYSEC, cartesi-to-us-dollar-chart
"", CYSEC, casperlabs-to-us-dollar-chart
"", CYSEC, ccxx-to-us-dollar-chart
"", CYSEC, celer-network-to-us-dollar-chart
"", CYSEC, celsius-network-to-us-dollar-chart
"", CYSEC, cere-network-to-us-dollar-chart
"", CYSEC, certik-to-us-dollar-chart
"", CYSEC, chia-network-to-us-dollar-chart
"", CYSEC, chromia-to-us-dollar-chart
"", CYSEC, cindicator-to-us-dollar-chart
"", CYSEC, clover-to-us-dollar-chart
"", CYSEC, coin98-to-us-dollar-chart
"", CYSEC, conflux-to-us-dollar-chart
"", CYSEC, constellation-to-us-dollar-chart
"", CYSEC, constitutiondao-to-us-dollar-chart
"", CYSEC, convergence-to-us-dollar-chart
"", CYSEC, cortex-to-us-dollar-chart
"", CYSEC, coti-to-us-dollar-chart
"", CYSEC, covalent-to-us-dollar-chart
"", CYSEC, cream-to-us-dollar-chart
"", CYSEC, crypterium-to-us-dollar-chart
"", CYSEC, cudos-to-us-dollar-chart
"", CYSEC, cyberveintoken-to-us-dollar-chart
"", CYSEC, dai-to-us-dollar-chart
"", CYSEC, dcr-to-us-dollar-chart

