LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", ASIC, new-zealand-dollar-mexican-peso-rate
"", ASIC, gbp-try-rate
"", ASIC, gbp-hkd-rate
"", ASIC, hong-kong-dollar-turkish-lira-rate
"", ASIC, swiss-franc-chinese-yuan-rate
"", ASIC, canadian-dollar-turkish-lira-rate
"", ASIC, hong-kong-dollar-mexican-peso-rate
"", ASIC, chf-nok-rate
"", ASIC, chf-pln-rate
"", ASIC, british-pound-czech-koruna-rate
"", ASIC, new-zealand-dollar-zloty-rate
"", ASIC, singapore-dollar-mexican-peso-rate
"", ASIC, british-pound-south-african-rand-rate
"", ASIC, cad-pln-rate
"", ASIC, new-zealand-dollar-chinese-yuan-rate
"", ASIC, canadian-dollar-rand-rate
"", ASIC, euro-danish-krone-rate
"", ASIC, aud-pln-rate
"", ASIC, sgd-hkd-rate
"", ASIC, swiss-franc-czech-koruna-rate
"", FCA, australian-dollar-hong-kong-dollar-rate
"", FCA, australian-dollar-rand-rate
"", FCA, canadian-dollar-chinese-yuan-rate
"", FCA, canadian-dollar-hong-kong-dollar-rate
"", FCA, swiss-franc-mexican-peso-rate
"", FCA, zloty-turkish-lira-rate
"", FCA, gbp-pln-rate
"", FCA, usd-hkd-rate
"", FCA, british-pound-hungarian-forint-rate
"", FCA, pound-sterling-chinese-yuan-rate
"", FCA, us-dollar-czech-koruna-rate
"", FCA, new-zealand-dollar-swedish-krona-rate
"", FCA, british-pound-danish-krone-rate
"", FCA, us-dollar-danish-krone-rate
"", FCA, canadian-dollar-mexican-peso-rate
"", FCA, new-zealand-dollar-turkish-lira-rate
"", FCA, gbp-sgd-rate
"", FCA, eur-sgd-rate
"", FCA, new-zealand-dollar-mexican-peso-rate
"", FCA, gbp-try-rate
"", FCA, gbp-hkd-rate
"", CYSEC, gbp-hkd-rate
"", CYSEC, hong-kong-dollar-turkish-lira-rate
"", CYSEC, swiss-franc-chinese-yuan-rate
"", CYSEC, canadian-dollar-turkish-lira-rate
"", CYSEC, hong-kong-dollar-mexican-peso-rate
"", CYSEC, chf-nok-rate
"", CYSEC, chf-pln-rate
"", CYSEC, british-pound-czech-koruna-rate
"", CYSEC, new-zealand-dollar-zloty-rate
"", CYSEC, singapore-dollar-mexican-peso-rate
"", CYSEC, british-pound-south-african-rand-rate
"", CYSEC, cad-pln-rate
"", CYSEC, new-zealand-dollar-chinese-yuan-rate
"", NBRB, new-zealand-dollar-turkish-lira-rate
"", NBRB, gbp-sgd-rate
"", NBRB, eur-sgd-rate
"", NBRB, new-zealand-dollar-mexican-peso-rate
"", NBRB, gbp-try-rate
"", NBRB, gbp-hkd-rate
"", NBRB, hong-kong-dollar-turkish-lira-rate
"", NBRB, swiss-franc-chinese-yuan-rate
"", NBRB, canadian-dollar-turkish-lira-rate
"", NBRB, hong-kong-dollar-mexican-peso-rate
"", NBRB, chf-nok-rate
"", NBRB, chf-pln-rate
"", NBRB, british-pound-czech-koruna-rate
"", NBRB, new-zealand-dollar-zloty-rate
"", CCSTV, canadian-dollar-rand-rate
"", CCSTV, euro-danish-krone-rate
"", CCSTV, aud-pln-rate
"", CCSTV, sgd-hkd-rate
"", CCSTV, swiss-franc-czech-koruna-rate
"", CCSTV, swiss-franc-rand-rate
"", CCSTV, new-zealand-dollar-hong-kong-dollar-rate
"", CCSTV, swiss-franc-turkish-lira-rate
"", FSA, british-pound-danish-krone-rate
"", FSA, us-dollar-danish-krone-rate
"", FSA, canadian-dollar-mexican-peso-rate
"", FSA, new-zealand-dollar-turkish-lira-rate
"", FSA, gbp-sgd-rate
"", FSA, eur-sgd-rate
"", FSA, new-zealand-dollar-mexican-peso-rate
"", FSA, gbp-try-rate
"", FSA, gbp-hkd-rate
"", FSA, hong-kong-dollar-turkish-lira-rate
"", FSA, swiss-franc-chinese-yuan-rate
"", FSA, canadian-dollar-turkish-lira-rate
"", FSA, hong-kong-dollar-mexican-peso-rate
"", FSA, chf-nok-rate
"", FSA, chf-pln-rate
"", FSA, british-pound-czech-koruna-rate
"", FSA, new-zealand-dollar-zloty-rate
"", FSA, singapore-dollar-mexican-peso-rate
"", FSA, british-pound-south-african-rand-rate
"", FSA, cad-pln-rate
"", FSA, new-zealand-dollar-chinese-yuan-rate
"", SCB, swiss-franc-mexican-peso-rate
"", SCB, zloty-turkish-lira-rate
"", SCB, gbp-pln-rate
