LANGUAGE, LICENCE, TRADING_INSTRUMENT_NAME
"", ASIC, zomedica-corp-share-price
"", ASIC, zoono-group-limited-share-price
"", ASIC, zooplus-ag-share-price
"", ASIC, zosano-pharma-corporation-share-price
"", ASIC, zte-corporation-share-price
"", ASIC, zto-express-cayman-inc-share-price
"", ASIC, zumiez-share-price
"", ASIC, zynerba-pharmaceuticals-inc-share-price
"", ASIC, zynex-inc-share-price
"", FCA, ytl-power-international-berhad-share-price
"", FCA, yumanity-therapeutics-inc-share-price
"", FCA, zanite-acquisition-corp-share-price
"", FCA, huami-corporation-share-price
"", FCA, zhongsheng-group-holdings-limited-share-price
"", FCA, ziopharm-oncology-inc-share-price
"", FCA, ziprecruiter-share-price
"", FCA, zomedica-corp-share-price
"", FCA, zoono-group-limited-share-price
"", FCA, zooplus-ag-share-price
"", FCA, zosano-pharma-corporation-share-price
"", FCA, zte-corporation-share-price
"", FCA, zto-express-cayman-inc-share-price
"", FCA, zumiez-share-price
"", FCA, zynerba-pharmaceuticals-inc-share-price
"", FCA, zynex-inc-share-price
"", CYSEC, dge-share-price
"", CYSEC, barclays-share-price
"", CYSEC, peloton-interactive-inc-share-price
"", CYSEC, porsche-automobil-holding-share-price
"", CYSEC, koninklijke-philips-n-v-share-price
"", CYSEC, vodafone-share-price
"", CYSEC, juventus-fc-share-price
"", CYSEC, 3i-group-plc-ord-73-19-22p-share-price
"", CYSEC, fuelcell-energy-inc-share-price
"", CYSEC, digital-world-acquisition-corp-share-price
"", CYSEC, sunrun-inc-share
"", NBRB, iberdrola-s-a-share-price
"", NBRB, investor-b-share-price
"", NBRB, melia-hotels-international-s-a-share-price
"", NBRB, persimmon-share-price
"", NBRB, spirent-communications-plc-share-price
"", NBRB, wisetech-global-limited-share-price
"", NBRB, a-o-smith-share-price
"", NBRB, bio-techne-corp-share-price
"", NBRB, cadiz-share-price
"", NBRB, canadian-pacific-railway-ltd-share-price
"", NBRB, consumer-staples-select-sector-spdr-fund-share-price
"", NBRB, diageo-adr-rep-4-share-price
"", CCSTV, baozun-inc-share-price
"", CCSTV, bluebird-bio-inc-share-price
"", CCSTV, citius-pharmaceuticals-inc-share-price
"", CCSTV, microstrategy-incorporated-share-price
"", CCSTV, intuitive-surgical-inc-share-price
"", CCSTV, eni-spa-share-price
"", CCSTV, hsbc-holdings-plc-share-price
"", CCSTV, mgm-china-holdings-limited-share-price
"", CCSTV, rwe-share-price
"", CCSTV, saras-spa-share-price
"", CCSTV, yancoal-australia-share-price
"", CCSTV, albemarle-corporation-share-price
"", CCSTV, splunk-inc-share-price
"", CCSTV, air-liquide-share-price
"", CCSTV, ardent-leisure-group-limited-share-price
"", CCSTV, astrazeneca-share-price
"", CCSTV, banco-bilbao-vizcaya-argentaria-s-a-share-price
"", FSA, avarga-share-price
"", FSA, aveng-limited-share-price
"", FSA, avenue-therapeutics-inc-share-price
"", FSA, aveo-pharmaceuticals-inc-share-price
"", FSA, avepoint-inc-share-price
"", FSA, avery-dennison-share-price
"", FSA, aveva-group-plc-share-price
"", FSA, avi-global-trust-plc-share-price
"", FSA, avi-limited-share-price
"", FSA, aviat-share-price
"", FSA, avid-share-price
"", FSA, avid-bioservices-inc-share-price
"", FSA, avidity-biosciences-inc-share-price
"", FSA, avinger-inc-share-price
"", FSA, avista-corporation-share-price
"", SCB, ares-capital-corporation-share-price
"", SCB, blucora-share-price
"", SCB, bce-inc-share-price
"", SCB, brookfield-infrastructure-partn-share-price
"", SCB, celanese-share-price
"", SCB, cf-industries-holdings-share-price
"", SCB, citizens-financial-group-share-price
"", SCB, coca-cola-european-partners-plc-share-price
"", SCB, codexis-share-price
"", SCB, cognizant-ctsh-share-price
"", SCB, conagra-share-price
"", SCB, day-one-biopharmaceuticals-share-price
"", SCB, direxion-daily-gold-miners-index-bull-3x-shares-share-price
"", SCB, eog-share-price
"", SCB, xperi-holding-corporation-share-price
"", SCB, xpresspa-group-inc-share-price
"", SCB, y-mabs-therapeutics-inc-share-price
"", SCB, yandex-n-v-share-price
"", SCB, yanlord-land-share-price
"", SCB, yara-international-share-price
